,Max Torque,Max Torque(Nm)
3894,250Nm@1500-3000rpm,250.0
3895,115Nm@4000rpm,115.0
3896,330Nm@1600-2800rpm,330.0
3897,114.73Nm@4000rpm,114.73
3898,153Nm@3800rpm,153.0
3899,110Nm@4800rpm,110.0
3900,132.38Nm@4000rpm,132.38
3902,300Nm@1800-4000rpm,300.0
3903,96Nm@3500rpm,96.0
3904,200Nm@1750rpm,200.0
3905,114.7Nm@4000rpm,114.7
3906,250Nm@1750-2500rpm,250.0
3907,250nm@1500-2750rpm,250.0
3908,280Nm@1800-2800rpm,280.0
3909,620Nm@1600-2400rpm,620.0
3910,175nm@1750-4000rpm,175.0
3911,113.75nm@4000rpm,113.75
3912,113.75nm@4000rpm,113.75
3913,113.75nm@4000rpm,113.75
3914,90Nm@3500rpm,90.0
3915,113Nm@4200rpm,113.0
3916,259.9Nm@1900-2750rpm,259.9
3917,114.7Nm@4000rpm,114.7
3918,259.9Nm@1900-2750rpm,259.9
3919,110Nm@4800rpm,110.0
3920,173Nm@4000rpm,173.0
3921,350Nm@1450-4800rpm,350.0
3922,600Nm@1500-3000rpm,600.0
3923,109Nm@4500rpm,109.0
3924,114Nm@4000rpm,114.0
3925,160Nm@1750rpm,160.0
3926,248Nm@2250rpm,248.0
3927,114Nm@4000rpm,114.0
3928,215Nm@1750-2500rpm,215.0
3929,250nm@2500-4000rpm,250.0
3930,138Nm@4400rpm,138.0
3931,145Nm@4600rpm,145.0
3932,320Nm@1750-2500rpm,320.0
3933,115Nm@4000rpm,115.0
3934,115Nm@4000rpm,115.0
3935,91Nm@4250rpm,91.0
3936,89Nm@3500rpm,89.0
3937,250Nm@1600-3500rpm,250.0
3938,150Nm@4500rpm,150.0
3939,"24.5 @ 3,500-4,500 (kgm@rpm)",240.10000000000002
3940,113Nm@4200rpm,113.0
3941,205Nm@1750-3250rpm,205.0
3942,134Nm@4000rpm,134.0
3943,145Nm@4300rpm,145.0
3944,145Nm@4300rpm,145.0
3945,90Nm@3500rpm,90.0
3946,600Nm@1500-3000rpm,600.0
3947,470Nm@1750-2500rpm,470.0
3948,360Nm@1400-3200rpm,360.0
3949,300Nm@1200-4000rpm,300.0
3950,145Nm@4600rpm,145.0
3951,205Nm@1750-3250rpm,205.0
3952,360Nm@1400-3200rpm,360.0
3953,138Nm@4400rpm,138.0
3954,95Nm@3500rpm,95.0
3956,245Nm@1750rpm,245.0
3957,104Nm@4400rpm,104.0
3958,99Nm@4500 rpm,99.0
3959,470Nm@1750-2500rpm,470.0
3960,99.04Nm@4500rpm,99.04
3961,145Nm@4600rpm,145.0
3962,"11.4 kgm at 4,000 rpm",111.72000000000001
3963,245Nm@4000rpm,245.0
3964,200Nm@1750rpm,200.0
3965,136.8Nm@4400rpm,136.8
